gene,CHR,BP
AT3G21755,3,21755
AT3G26480,3,26480
AT3G27190,3,27190
AT3G29788,3,29788
AT3G46580,3,46580
AT3G57810,3,57810
AT4G10060,4,10060
AT4G14270,4,14270
AT4G17980,4,17980
AT4G18920,4,18920
AT4G19610,4,19610
AT4G20760,4,20760
AT4G24750,4,24750
AT4G25631,4,25631
AT4G26400,4,26400
AT4G27590,4,27590
AT4G32010,4,32010
AT4G32420,4,32420
AT4G37000,4,37000
AT5G02190,5,2190
AT5G03040,5,3040
AT5G03090,5,3090
AT5G03380,5,3380
AT5G03520,5,3520
AT5G04540,5,4540
AT5G08540,5,8540
AT5G08630,5,8630
AT5G09400,5,9400
AT5G14250,5,14250
AT5G14910,5,14910
AT5G19875,5,19875
AT5G20935,5,20935
AT5G23080,5,23080
AT5G25550,5,25550
AT5G35450,5,35450
AT5G35490,5,35490
AT5G37820,5,37820
AT5G41100,5,41100
AT5G42825,5,42825
AT5G44740,5,44740
AT5G48220,5,48220
AT5G48760,5,48760
AT5G49530,5,49530
AT5G52030,5,52030
AT5G52990,5,52990
AT5G53480,5,53480
AT5G53900,5,53900
AT5G55135,5,55135
AT5G55160,5,55160
AT5G57070,5,57070
AT5G58200,5,58200
AT5G59690,5,59690
AT5G63530,5,63530
AT5G65970,5,65970
AT5G66080,5,66080
AT5G66280,5,66280
ATCG00320,C,320
AT1G07180,1,7180
AT1G12130,1,12130
AT1G13120,1,13120
AT1G13830,1,13830
AT1G16330,1,16330
AT1G17130,1,17130
AT1G17370,1,17370
AT1G21710,1,21710
AT1G23530,1,23530
AT1G25988,1,25988
AT1G27470,1,27470
AT1G42540,1,42540
AT1G49560,1,49560
AT1G52200,1,52200
AT1G54860,1,54860
AT1G55320,1,55320
AT1G65570,1,65570
AT1G67365,1,67365
AT1G67430,1,67430
AT1G68670,1,68670
AT1G71865,1,71865
AT1G73440,1,73440
AT1G73885,1,73885
AT1G75050,1,75050
AT1G75350,1,75350
AT1G75840,1,75840
AT1G77540,1,77540
AT1G77590,1,77590
AT1G80270,1,80270
AT2G13410,2,13410
AT2G15430,2,15430
AT2G19170,2,19170
AT2G24140,2,24140
AT2G38570,2,38570
AT2G46740,2,46740
AT3G02720,3,2720
AT3G03702,3,3702
AT3G07250,3,7250
AT3G07750,3,7750
AT3G08510,3,8510
AT3G11370,3,11370
AT3G12080,3,12080
AT3G20770,3,20770
AT3G28840,3,28840
AT3G29032,3,29032
AT3G32047,3,32047
AT3G43700,3,43700
AT3G46100,3,46100
AT3G46740,3,46740
AT3G50010,3,50010
AT3G52900,3,52900
AT3G53920,3,53920
AT3G54360,3,54360
AT3G55750,3,55750
AT3G61990,3,61990
AT3G62470,3,62470
AT4G01160,4,1160
AT4G03635,4,3635
AT4G12750,4,12750
AT4G14710,4,14710
AT4G15215,4,15215
AT4G15480,4,15480
AT4G16970,4,16970
AT4G18840,4,18840
AT4G19003,4,19003
AT4G24710,4,24710
AT4G25630,4,25630
AT4G27390,4,27390
AT4G27850,4,27850
AT4G29710,4,29710
AT4G29990,4,29990
AT4G31877,4,31877
AT4G33960,4,33960
AT4G34220,4,34220
AT4G35570,4,35570
AT4G38920,4,38920
AT5G01470,5,1470
AT5G02120,5,2120
AT5G03545,5,3545
AT5G04290,5,4290
AT5G04410,5,4410
AT5G05320,5,5320
AT5G07740,5,7740
AT5G13300,5,13300
AT5G16270,5,16270
AT5G16380,5,16380
AT5G17670,5,17670
AT5G20840,5,20840
AT5G28919,5,28919
AT5G42370,5,42370
AT5G45950,5,45950
AT5G46540,5,46540
AT5G49015,5,49015
AT5G52380,5,52380
AT5G54630,5,54630
AT5G58340,5,58340
AT5G59410,5,59410
AT5G60490,5,60490
AT5G61350,5,61350
AT5G61490,5,61490
AT5G62170,5,62170
AT5G63780,5,63780
AT5G65925,5,65925
AT1G06440,1,6440
AT1G09510,1,9510
AT1G09815,1,9815
AT1G10170,1,10170
AT1G11870,1,11870
AT1G20030,1,20030
AT1G20657,1,20657
AT1G29350,1,29350
AT1G32970,1,32970
AT1G33265,1,33265
AT1G47565,1,47565
AT1G51200,1,51200
AT1G60190,1,60190
AT1G61480,1,61480
AT1G61760,1,61760
AT1G64572,1,64572
AT1G67700,1,67700
AT1G74010,1,74010
AT1G75380,1,75380
AT1G75420,1,75420
AT1G80150,1,80150
AT2G01550,2,1550
AT2G03090,2,3090
AT2G07827,2,7827
AT2G12440,2,12440
AT2G13370,2,13370
AT2G18960,2,18960
AT2G20725,2,20725
AT2G21860,2,21860
AT2G26060,2,26060
AT2G31940,2,31940
AT2G33450,2,33450
AT2G35155,2,35155
AT2G41900,2,41900
AT2G45520,2,45520
AT2G45670,2,45670
AT2G46240,2,46240
AT2G46375,2,46375
AT3G03480,3,3480
AT3G06140,3,6140
AT3G14517,3,14517
AT3G15370,3,15370
AT3G15470,3,15470
AT3G16370,3,16370
AT3G20060,3,20060
AT3G21540,3,21540
AT3G22980,3,22980
AT3G24080,3,24080
AT3G24516,3,24516
AT3G25480,3,25480
AT3G26710,3,26710
AT3G30580,3,30580
AT3G42445,3,42445
AT3G43840,3,43840
AT3G44820,3,44820
AT3G49570,3,49570
AT3G52200,3,52200
AT3G53870,3,53870
AT3G56790,3,56790
AT3G60286,3,60286
AT3G60980,3,60980
AT3G62890,3,62890
AT4G12040,4,12040
AT4G14170,4,14170
AT4G16760,4,16760
AT4G22840,4,22840
AT4G27620,4,27620
AT4G31330,4,31330
AT4G38140,4,38140
AT4G39080,4,39080
AT5G07800,5,7800
AT5G08650,5,8650
AT5G09570,5,9570
AT5G12960,5,12960
AT5G13840,5,13840
AT5G17960,5,17960
AT5G18475,5,18475
AT5G19120,5,19120
AT5G20540,5,20540
AT5G21020,5,21020
AT5G22020,5,22020
AT5G22820,5,22820
AT5G23405,5,23405
AT5G25370,5,25370
AT5G38350,5,38350
AT5G48850,5,48850
AT5G49780,5,49780
AT5G52120,5,52120
AT5G53210,5,53210
AT5G54600,5,54600
AT5G55150,5,55150
AT5G55270,5,55270
AT5G55580,5,55580
AT5G66090,5,66090
AT5G67200,5,67200
AT1G02740,1,2740
AT1G02810,1,2810
AT1G03360,1,3360
AT1G04240,1,4240
AT1G08700,1,8700
AT1G16390,1,16390
AT1G18830,1,18830
AT1G26700,1,26700
AT1G32950,1,32950
AT1G33810,1,33810
AT1G34040,1,34040
AT1G36600,1,36600
AT1G47540,1,47540
AT1G52580,1,52580
AT1G61070,1,61070
AT1G62490,1,62490
AT1G65150,1,65150
AT1G68850,1,68850
AT1G71370,1,71370
AT1G72360,1,72360
AT1G72550,1,72550
AT1G72630,1,72630
AT1G73140,1,73140
AT1G73260,1,73260
AT1G73570,1,73570
AT1G74450,1,74450
AT1G76120,1,76120
AT1G76500,1,76500
AT1G77920,1,77920
AT1G79610,1,79610
AT2G02070,2,2070
AT2G02470,2,2470
AT2G05100,2,5100
AT2G15880,2,15880
AT2G26120,2,26120
AT2G27150,2,27150
AT2G31540,2,31540
AT2G32650,2,32650
AT2G32760,2,32760
AT2G34470,2,34470
AT2G35790,2,35790
AT2G37925,2,37925
AT2G38280,2,38280
AT2G41170,2,41170
AT2G41430,2,41430
AT2G42530,2,42530
AT2G43990,2,43990
AT2G47830,2,47830
AT3G01840,3,1840
AT3G11950,3,11950
AT3G13405,3,13405
AT3G14690,3,14690
AT3G17430,3,17430
AT3G19450,3,19450
AT3G19510,3,19510
AT3G19515,3,19515
AT3G20140,3,20140
AT3G20950,3,20950
AT3G21050,3,21050
AT3G21300,3,21300
AT3G26920,3,26920
AT3G30530,3,30530
AT3G45700,3,45700
AT3G56950,3,56950
AT3G57586,3,57586
AT4G01580,4,1580
AT4G01610,4,1610
AT4G02160,4,2160
AT4G04745,4,4745
AT4G08900,4,8900
AT4G15490,4,15490
AT4G16155,4,16155
AT4G17085,4,17085
AT4G19820,4,19820
AT4G19860,4,19860
AT4G21590,4,21590
AT4G22390,4,22390
AT4G23660,4,23660
AT4G24265,4,24265
AT4G27090,4,27090
AT4G30080,4,30080
AT4G30990,4,30990
AT4G31510,4,31510
AT4G33180,4,33180
AT4G39550,4,39550
AT5G01430,5,1430
AT5G02150,5,2150
AT5G04170,5,4170
AT5G04860,5,4860
AT5G06000,5,6000
AT5G07890,5,7890
AT5G18590,5,18590
AT5G21222,5,21222
AT5G24190,5,24190
AT5G26720,5,26720
AT5G26730,5,26730
AT5G27902,5,27902
AT5G35970,5,35970
AT5G37720,5,37720
AT5G42130,5,42130
AT5G43500,5,43500
AT5G43770,5,43770
AT5G45650,5,45650
AT5G50110,5,50110
AT5G51451,5,51451
AT5G54930,5,54930
AT5G55060,5,55060
AT5G57250,5,57250
AT5G57500,5,57500
AT5G58440,5,58440
AT5G59460,5,59460
AT5G60450,5,60450
AT5G63520,5,63520
ATCG00610,C,610
ATMG01320,M,1320
AT1G04960,1,4960
AT1G09340,1,9340
AT1G14182,1,14182
AT1G15230,1,15230
AT1G17550,1,17550
AT1G19020,1,19020
AT1G20650,1,20650
AT1G23380,1,23380
AT1G23450,1,23450
AT1G28710,1,28710
AT1G31650,1,31650
AT1G34010,1,34010
AT1G34550,1,34550
AT1G36680,1,36680
AT1G44750,1,44750
AT1G45150,1,45150
AT1G48200,1,48200
AT1G49950,1,49950
AT1G50400,1,50400
AT1G51820,1,51820
AT1G52050,1,52050
AT1G63150,1,63150
AT1G67148,1,67148
AT1G67410,1,67410
AT1G69760,1,69760
AT1G70630,1,70630
AT1G71691,1,71691
AT1G72570,1,72570
AT1G73720,1,73720
AT1G74545,1,74545
AT1G75460,1,75460
AT1G76690,1,76690
AT2G17570,2,17570
AT2G20362,2,20362
AT2G20900,2,20900
AT2G22370,2,22370
AT2G22860,2,22860
AT2G25880,2,25880
AT2G27229,2,27229
AT2G32487,2,32487
AT2G32840,2,32840
AT2G33520,2,33520
AT2G35740,2,35740
AT2G35800,2,35800
AT2G37430,2,37430
AT2G39190,2,39190
AT2G40220,2,40220
AT2G43190,2,43190
AT2G44870,2,44870
AT3G02490,3,2490
AT3G04910,3,4910
AT3G12587,3,12587
AT3G13760,3,13760
AT3G16440,3,16440
AT3G27095,3,27095
AT3G41762,3,41762
AT3G43630,3,43630
AT3G46484,3,46484
AT3G47610,3,47610
AT3G49310,3,49310
AT3G50860,3,50860
AT3G51460,3,51460
AT3G54460,3,54460
AT3G60510,3,60510
AT3G62680,3,62680
AT4G00580,4,580
AT4G07965,4,7965
AT4G10550,4,10550
AT4G13020,4,13020
AT4G14368,4,14368
AT4G16240,4,16240
AT4G16440,4,16440
AT4G18465,4,18465
AT4G19700,4,19700
AT4G27670,4,27670
AT4G28770,4,28770
AT4G29260,4,29260
AT4G33250,4,33250
AT4G33820,4,33820
AT4G39510,4,39510
AT5G01225,5,1225
AT5G04620,5,4620
AT5G09585,5,9585
AT5G17850,5,17850
AT5G18520,5,18520
AT5G25040,5,25040
AT5G35940,5,35940
AT5G36180,5,36180
AT5G39120,5,39120
AT5G39770,5,39770
AT5G41770,5,41770
AT5G43750,5,43750
AT5G45140,5,45140
AT5G45540,5,45540
AT5G45570,5,45570
AT5G45660,5,45660
AT5G51830,5,51830
AT5G53150,5,53150
AT5G56120,5,56120
AT5G58450,5,58450
ATCG00020,C,20
ATMG00130,M,130
ATMG00285,M,285
AT1G01820,1,1820
AT1G04050,1,4050
AT1G07119,1,7119
AT1G07150,1,7150
AT1G07250,1,7250
AT1G07645,1,7645
AT1G09840,1,9840
AT1G10580,1,10580
AT1G11050,1,11050
AT1G15420,1,15420
AT1G17060,1,17060
AT1G19290,1,19290
AT1G21260,1,21260
AT1G26240,1,26240
AT1G26790,1,26790
AT1G31720,1,31720
AT1G47590,1,47590
AT1G48540,1,48540
AT1G49720,1,49720
AT1G51390,1,51390
AT1G54355,1,54355
AT1G57730,1,57730
AT1G60060,1,60060
AT1G63730,1,63730
AT1G65610,1,65610
AT1G65670,1,65670
AT1G67856,1,67856
AT1G69960,1,69960
AT1G74030,1,74030
AT1G75410,1,75410
AT2G05380,2,5380
AT2G11880,2,11880
AT2G12420,2,12420
AT2G19200,2,19200
AT2G21460,2,21460
AT2G22530,2,22530
AT2G25890,2,25890
AT2G29630,2,29630
AT2G29680,2,29680
AT2G31090,2,31090
AT2G31510,2,31510
AT2G31910,2,31910
AT2G32860,2,32860
AT2G33790,2,33790
AT2G35345,2,35345
AT2G41230,2,41230
AT2G46050,2,46050
AT2G46600,2,46600
AT2G47310,2,47310
AT3G02885,3,2885
AT3G12960,3,12960
AT3G15200,3,15200
AT3G18390,3,18390
AT3G21890,3,21890
AT3G22300,3,22300
AT3G26570,3,26570
AT3G27660,3,27660
AT3G29635,3,29635
AT3G46670,3,46670
AT3G48460,3,48460
AT3G51770,3,51770
AT3G58130,3,58130
AT4G09640,4,9640
AT4G11040,4,11040
AT4G14605,4,14605
AT4G15730,4,15730
AT4G22940,4,22940
AT4G23030,4,23030
AT4G27340,4,27340
AT4G29170,4,29170
AT4G29590,4,29590
AT4G30170,4,30170
AT4G30280,4,30280
AT4G32120,4,32120
AT4G32660,4,32660
AT4G34430,4,34430
AT4G34550,4,34550
AT4G37440,4,37440
AT4G38060,4,38060
AT5G02170,5,2170
AT5G02750,5,2750
AT5G04781,5,4781
AT5G05210,5,5210
AT5G05800,5,5800
AT5G06090,5,6090
AT5G08600,5,8600
AT5G09805,5,9805
AT5G18450,5,18450
AT5G19510,5,19510
AT5G23000,5,23000
AT5G25170,5,25170
AT5G26731,5,26731
AT5G35738,5,35738
AT5G41810,5,41810
AT5G42990,5,42990
AT5G47930,5,47930
AT5G48655,5,48655
AT5G51550,5,51550
AT5G51800,5,51800
AT5G57400,5,57400
AT5G58130,5,58130
AT5G59310,5,59310
AT5G61660,5,61660
AT5G64630,5,64630
AT5G66070,5,66070
ATMG00640,M,640
AT1G01230,1,1230
AT1G12240,1,12240
AT1G13170,1,13170
AT1G14930,1,14930
AT1G18870,1,18870
AT1G25450,1,25450
AT1G27910,1,27910
AT1G31240,1,31240
AT1G31660,1,31660
AT1G32440,1,32440
AT1G50580,1,50580
AT1G50790,1,50790
AT1G50840,1,50840
AT1G52300,1,52300
AT1G55860,1,55860
AT1G56080,1,56080
AT1G58400,1,58400
AT1G61130,1,61130
AT1G62020,1,62020
AT1G67623,1,67623
AT1G69540,1,69540
AT1G71060,1,71060
AT1G76110,1,76110
AT1G79440,1,79440
AT1G80090,1,80090
AT2G02450,2,2450
AT2G13960,2,13960
AT2G15220,2,15220
AT2G15230,2,15230
AT2G16360,2,16360
AT2G23540,2,23540
AT2G24130,2,24130
AT2G25169,2,25169
AT2G27350,2,27350
AT2G32260,2,32260
AT2G34020,2,34020
AT2G37830,2,37830
AT2G38040,2,38040
AT2G39140,2,39140
AT2G43580,2,43580
AT2G44920,2,44920
AT2G45710,2,45710
AT3G02000,3,2000
AT3G03050,3,3050
AT3G03790,3,3790
AT3G06580,3,6580
AT3G17850,3,17850
AT3G22840,3,22840
AT3G23470,3,23470
AT3G24927,3,24927
AT3G25470,3,25470
AT3G26310,3,26310
AT3G28350,3,28350
AT3G28850,3,28850
AT3G29970,3,29970
AT3G32900,3,32900
AT3G44425,3,44425
AT3G44700,3,44700
AT3G46180,3,46180
AT3G46210,3,46210
AT3G47833,3,47833
AT3G49790,3,49790
AT3G53950,3,53950
AT4G00525,4,525
AT4G01360,4,1360
AT4G01915,4,1915
AT4G03935,4,3935
AT4G08593,4,8593
AT4G14510,4,14510
AT4G14910,4,14910
AT4G17420,4,17420
AT4G19395,4,19395
AT4G20095,4,20095
AT4G27640,4,27640
AT5G01595,5,1595
AT5G09690,5,9690
AT5G09920,5,9920
AT5G11010,5,11010
AT5G11140,5,11140
AT5G11870,5,11870
AT5G13090,5,13090
AT5G13710,5,13710
AT5G17300,5,17300
AT5G27771,5,27771
AT5G35430,5,35430
AT5G43720,5,43720
AT5G44417,5,44417
AT5G47970,5,47970
AT5G48640,5,48640
AT5G49630,5,49630
AT5G49740,5,49740
AT5G50665,5,50665
AT5G52100,5,52100
AT5G53700,5,53700
AT5G53710,5,53710
AT5G56740,5,56740
AT5G57000,5,57000
AT5G61560,5,61560
AT5G64320,5,64320
AT1G04625,1,4625
AT1G07930,1,7930
AT1G10430,1,10430
AT1G15560,1,15560
AT1G16130,1,16130
AT1G17040,1,17040
AT1G17280,1,17280
AT1G23990,1,23990
AT1G24430,1,24430
AT1G29420,1,29420
AT1G29530,1,29530
AT1G30845,1,30845
AT1G31670,1,31670
AT1G31950,1,31950
AT1G34490,1,34490
AT1G47578,1,47578
AT1G49300,1,49300
AT1G49510,1,49510
AT1G51538,1,51538
AT1G53165,1,53165
AT1G53785,1,53785
AT1G54960,1,54960
AT1G61750,1,61750
AT1G63570,1,63570
AT1G67660,1,67660
AT1G68480,1,68480
AT1G68560,1,68560
AT1G69240,1,69240
AT1G69750,1,69750
AT1G73190,1,73190
AT1G77000,1,77000
AT2G02750,2,2750
AT2G12450,2,12450
AT2G14910,2,14910
AT2G15370,2,15370
AT2G15590,2,15590
AT2G18100,2,18100
AT2G25490,2,25490
AT2G27790,2,27790
AT2G33720,2,33720
AT2G43320,2,43320
AT2G44990,2,44990
AT2G45800,2,45800
AT3G01516,3,1516
AT3G03240,3,3240
AT3G05490,3,5490
AT3G06340,3,6340
AT3G07930,3,7930
AT3G10185,3,10185
AT3G11385,3,11385
AT3G15410,3,15410
AT3G17350,3,17350
AT3G19780,3,19780
AT3G20500,3,20500
AT3G21030,3,21030
AT3G21230,3,21230
AT3G21390,3,21390
AT3G26782,3,26782
AT3G27060,3,27060
AT3G27360,3,27360
AT3G27430,3,27430
AT3G27883,3,27883
AT3G30725,3,30725
AT3G45070,3,45070
AT3G47430,3,47430
AT3G52090,3,52090
AT3G52220,3,52220
AT3G54060,3,54060
AT3G55110,3,55110
AT3G55500,3,55500
AT3G55720,3,55720
AT3G57590,3,57590
AT3G58150,3,58150
AT3G61740,3,61740
AT3G62910,3,62910
AT4G02725,4,2725
AT4G08400,4,8400
AT4G13390,4,13390
AT4G16140,4,16140
AT4G21445,4,21445
AT4G22010,4,22010
AT4G23060,4,23060
AT4G26730,4,26730
AT4G31310,4,31310
AT4G32285,4,32285
AT4G37900,4,37900
AT5G01610,5,1610
AT5G01640,5,1640
AT5G08290,5,8290
AT5G08590,5,8590
AT5G10278,5,10278
AT5G13000,5,13000
AT5G21150,5,21150
AT5G24400,5,24400
AT5G24640,5,24640
AT5G26880,5,26880
AT5G35480,5,35480
AT5G35680,5,35680
AT5G42600,5,42600
AT5G45210,5,45210
AT5G46105,5,46105
AT5G53830,5,53830
AT5G57980,5,57980
AT5G58910,5,58910
ATCG00600,C,600
ATCG01070,C,1070
ATMG00090,M,90
AT1G08540,1,8540
AT1G09960,1,9960
AT1G15330,1,15330
AT1G17260,1,17260
AT1G22400,1,22400
AT1G24320,1,24320
AT1G36940,1,36940
AT1G44110,1,44110
AT1G44800,1,44800
AT1G48900,1,48900
AT1G56350,1,56350
AT1G56612,1,56612
AT1G61030,1,61030
AT1G64000,1,64000
AT1G64570,1,64570
AT1G65980,1,65980
AT1G66280,1,66280
AT1G68980,1,68980
AT1G71990,1,71990
AT1G75690,1,75690
AT1G76660,1,76660
AT2G02300,2,2300
AT2G12490,2,12490
AT2G14880,2,14880
AT2G18140,2,18140
AT2G20540,2,20540
AT2G20890,2,20890
AT2G22540,2,22540
AT2G26180,2,26180
AT2G26410,2,26410
AT2G27370,2,27370
AT2G27940,2,27940
AT2G29330,2,29330
AT2G29380,2,29380
AT2G34990,2,34990
AT2G41060,2,41060
AT2G45830,2,45830
AT3G01320,3,1320
AT3G03290,3,3290
AT3G03341,3,3341
AT3G05470,3,5470
AT3G07425,3,7425
AT3G15420,3,15420
AT3G21880,3,21880
AT3G23870,3,23870
AT3G27090,3,27090
AT3G28193,3,28193
AT3G31980,3,31980
AT3G43825,3,43825
AT3G50050,3,50050
AT3G60280,3,60280
AT3G63150,3,63150
AT3G63280,3,63280
AT4G19770,4,19770
AT4G20440,4,20440
AT4G24020,4,24020
AT4G25670,4,25670
AT4G35090,4,35090
AT4G37430,4,37430
AT4G37490,4,37490
AT4G38092,4,38092
AT4G39230,4,39230
AT5G01250,5,1250
AT5G08720,5,8720
AT5G11290,5,11290
AT5G12390,5,12390
AT5G13070,5,13070
AT5G23220,5,23220
AT5G30490,5,30490
AT5G33382,5,33382
AT5G34853,5,34853
AT5G38910,5,38910
AT5G39150,5,39150
AT5G40680,5,40680
AT5G48010,5,48010
AT5G48400,5,48400
AT5G52450,5,52450
AT5G57280,5,57280
AT5G58420,5,58420
AT5G62360,5,62360
AT5G64590,5,64590
AT5G66470,5,66470
AT5G66607,5,66607
AT5G67250,5,67250
ATCG00110,C,110
ATCG01040,C,1040
AT1G04830,1,4830
AT1G05090,1,5090
AT1G07705,1,7705
AT1G12211,1,12211
AT1G17650,1,17650
AT1G18100,1,18100
AT1G20590,1,20590
AT1G21560,1,21560
AT1G49170,1,49170
AT1G50330,1,50330
AT1G51220,1,51220
AT1G51310,1,51310
AT1G51470,1,51470
AT1G53090,1,53090
AT1G54370,1,54370
AT1G54890,1,54890
AT1G61210,1,61210
AT1G63880,1,63880
AT1G75430,1,75430
AT1G78180,1,78180
AT1G80350,1,80350
AT2G03550,2,3550
AT2G04940,2,4940
AT2G06985,2,6985
AT2G21240,2,21240
AT2G22080,2,22080
AT2G22980,2,22980
AT2G25500,2,25500
AT2G28780,2,28780
AT2G29065,2,29065
AT2G31290,2,31290
AT2G34070,2,34070
AT2G34410,2,34410
AT2G34660,2,34660
AT2G37320,2,37320
AT2G38530,2,38530
AT2G45220,2,45220
AT2G46915,2,46915
AT3G03330,3,3330
AT3G05858,3,5858
AT3G06360,3,6360
AT3G11110,3,11110
AT3G11250,3,11250
AT3G14170,3,14170
AT3G16670,3,16670
AT3G19760,3,19760
AT3G21350,3,21350
AT3G22790,3,22790
AT3G29130,3,29130
AT3G43890,3,43890
AT3G43980,3,43980
AT3G45840,3,45840
AT3G50640,3,50640
AT3G62320,3,62320
AT4G00810,4,810
AT4G02790,4,2790
AT4G05410,4,5410
AT4G09880,4,9880
AT4G10350,4,10350
AT4G11860,4,11860
AT4G13460,4,13460
AT4G17020,4,17020
AT4G17150,4,17150
AT4G22030,4,22030
AT4G22610,4,22610
AT4G22960,4,22960
AT4G23730,4,23730
AT4G25180,4,25180
AT4G25510,4,25510
AT4G31360,4,31360
AT4G33210,4,33210
AT5G06150,5,6150
AT5G16490,5,16490
AT5G16830,5,16830
AT5G22630,5,22630
AT5G22770,5,22770
AT5G23870,5,23870
AT5G24460,5,24460
AT5G34825,5,34825
AT5G37250,5,37250
AT5G44980,5,44980
AT5G47060,5,47060
AT5G53010,5,53010
AT5G54160,5,54160
AT5G57625,5,57625
AT5G59840,5,59840
AT5G59950,5,59950
AT5G64420,5,64420
AT5G65790,5,65790
ATCG00450,C,450
ATCG00570,C,570
ATCG00700,C,700
AT1G02475,1,2475
AT1G03445,1,3445
AT1G06630,1,6630
AT1G07770,1,7770
AT1G08430,1,8430
AT1G10030,1,10030
AT1G11900,1,11900
AT1G12020,1,12020
AT1G16515,1,16515
AT1G20810,1,20810
AT1G27140,1,27140
AT1G28570,1,28570
AT1G47600,1,47600
AT1G48140,1,48140
AT1G50370,1,50370
AT1G53470,1,53470
AT1G57680,1,57680
AT1G61050,1,61050
AT1G61280,1,61280
AT1G62981,1,62981
AT1G63760,1,63760
AT1G66270,1,66270
AT1G66740,1,66740
AT1G70720,1,70720
AT1G76080,1,76080
AT1G77530,1,77530
AT2G01020,2,1020
AT2G01400,2,1400
AT2G01490,2,1490
AT2G05760,2,5760
AT2G07687,2,7687
AT2G07711,2,7711
AT2G18980,2,18980
AT2G23640,2,23640
AT2G26010,2,26010
AT2G26370,2,26370
AT2G26940,2,26940
AT2G27000,2,27000
AT2G31420,2,31420
AT2G32640,2,32640
AT2G33340,2,33340
AT2G33680,2,33680
AT2G34080,2,34080
AT2G34160,2,34160
AT2G36980,2,36980
AT2G41360,2,41360
AT2G44900,2,44900
AT3G01480,3,1480
AT3G01730,3,1730
AT3G04650,3,4650
AT3G05920,3,5920
AT3G08810,3,8810
AT3G08900,3,8900
AT3G14370,3,14370
AT3G19430,3,19430
AT3G23440,3,23440
AT3G27490,3,27490
AT3G30843,3,30843
AT3G45960,3,45960
AT3G46680,3,46680
AT3G48200,3,48200
AT3G51410,3,51410
AT3G53240,3,53240
AT3G60710,3,60710
AT3G63160,3,63160
AT4G00100,4,100
AT4G01020,4,1020
AT4G02660,4,2660
AT4G08450,4,8450
AT4G09425,4,9425
AT4G10140,4,10140
AT4G13790,4,13790
AT4G14450,4,14450
AT4G19540,4,19540
AT4G21600,4,21600
AT4G28025,4,28025
AT4G32640,4,32640
AT4G33670,4,33670
AT5G04340,5,4340
AT5G05520,5,5520
AT5G09978,5,9978
AT5G10000,5,10000
AT5G19020,5,19020
AT5G23270,5,23270
AT5G25510,5,25510
AT5G35190,5,35190
AT5G39640,5,39640
AT5G41760,5,41760
AT5G42380,5,42380
AT5G44440,5,44440
AT5G44480,5,44480
AT5G45360,5,45360
AT5G51700,5,51700
AT5G53920,5,53920
AT5G55800,5,55800
AT5G56368,5,56368
AT5G59170,5,59170
ATCG00560,C,560
ATCG01060,C,1060
ATMG00510,M,510
AT1G03770,1,3770
AT1G13195,1,13195
AT1G19394,1,19394
AT1G19630,1,19630
AT1G33090,1,33090
AT1G43850,1,43850
AT1G49900,1,49900
AT1G50240,1,50240
AT1G53180,1,53180
AT1G56010,1,56010
AT1G60710,1,60710
AT1G60930,1,60930
AT1G61710,1,61710
AT1G68530,1,68530
AT1G69523,1,69523
AT1G70850,1,70850
AT1G78310,1,78310
AT1G80610,1,80610
AT2G05400,2,5400
AT2G13100,2,13100
AT2G20280,2,20280
AT2G20520,2,20520
AT2G20860,2,20860
AT2G21080,2,21080
AT2G23910,2,23910
AT2G24290,2,24290
AT2G24592,2,24592
AT2G26380,2,26380
AT2G26530,2,26530
AT2G28105,2,28105
AT2G31680,2,31680
AT2G32300,2,32300
AT2G34760,2,34760
AT2G36255,2,36255
AT2G36410,2,36410
AT2G36815,2,36815
AT2G38255,2,38255
AT2G39560,2,39560
AT2G41680,2,41680
AT2G42740,2,42740
AT3G08800,3,8800
AT3G11800,3,11800
AT3G14960,3,14960
AT3G16220,3,16220
AT3G17520,3,17520
AT3G19508,3,19508
AT3G21700,3,21700
AT3G23300,3,23300
AT3G26380,3,26380
AT3G26750,3,26750
AT3G44010,3,44010
AT3G45280,3,45280
AT3G46911,3,46911
AT3G48150,3,48150
AT3G49190,3,49190
AT3G51060,3,51060
AT3G54430,3,54430
AT3G58090,3,58090
AT3G58510,3,58510
AT3G60640,3,60640
AT4G00080,4,80
AT4G02480,4,2480
AT4G03813,4,3813
AT4G09420,4,9420
AT4G11960,4,11960
AT4G14850,4,14850
AT4G19000,4,19000
AT4G21860,4,21860
AT4G21900,4,21900
AT4G24000,4,24000
AT4G25820,4,25820
AT4G28930,4,28930
AT5G02030,5,2030
AT5G05240,5,5240
AT5G09860,5,9860
AT5G10730,5,10730
AT5G15660,5,15660
AT5G17820,5,17820
AT5G18620,5,18620
AT5G19330,5,19330
AT5G23530,5,23530
AT5G24570,5,24570
AT5G26040,5,26040
AT5G27200,5,27200
AT5G27700,5,27700
AT5G42270,5,42270
AT5G44410,5,44410
AT5G45970,5,45970
AT5G47030,5,47030
AT5G48120,5,48120
AT5G58100,5,58100
AT5G58860,5,58860
AT5G59490,5,59490
AT5G59570,5,59570
AT5G59980,5,59980
AT5G62950,5,62950
AT5G63490,5,63490
AT5G64430,5,64430
AT5G64470,5,64470
AT5G64840,5,64840
AT5G66562,5,66562
AT5G67560,5,67560
AT1G10522,1,10522
AT1G15385,1,15385
