"gene","accession_idsorted","LAP_SD_WW","annotation","symbol"
"AT3G48290",9880,-0.0045,"cytochrome P450, family 71, subfamily A, polypeptide 24(CYP71A24)","CYP71A24"
"AT4G23610",9560,-0.0045,"Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family(AT4G23610)","AT4G23610"
"AT5G15730",9874,-0.0045,"Protein kinase superfamily protein(CRLK2)","CRLK2"
"AT2G26120",9550,-0.0046,"glycine-rich protein(AT2G26120)","AT2G26120"
"AT2G46630",9844,-0.0046,"serine/arginine repetitive matrix protein(AT2G46630)","AT2G46630"
"AT5G61820",9845,-0.0046,"stress up-regulated Nod 19 protein(AT5G61820)","AT5G61820"
"AT1G59610",9586,-0.0047,"dynamin-like 3(DL3)","DL3"
"AT3G32904",9844,-0.0047,"Myb/SANT-like DNA-binding domain protein(AT3G32904)","AT3G32904"
"AT4G13440",9586,-0.0047,"Calcium-binding EF-hand family protein(AT4G13440)","AT4G13440"
"AT4G16400",9533,-0.0047,"transmembrane protein(AT4G16400)","AT4G16400"
"AT3G54480",9533,-0.0048,"SKP1/ASK-interacting protein 5(SKIP5)","SKIP5"
"AT4G02405",9871,-0.0048,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT4G02405)","AT4G02405"
"AT1G54080",9832,-0.0049,"oligouridylate-binding protein 1A(UBP1A)","UBP1A"
"AT2G10950",9526,-0.0049,"BSD domain-containing protein(AT2G10950)","AT2G10950"
"AT3G08920",9560,-0.0049,"Rhodanese/Cell cycle control phosphatase superfamily protein(AT3G08920)","AT3G08920"
"AT3G47070",9584,-0.0049,"thylakoid soluble phosphoprotein(AT3G47070)","AT3G47070"
"AT5G46960",9584,-0.0049,"Plant invertase/pectin methylesterase inhibitor superfamily protein(AT5G46960)","AT5G46960"
"AT1G21900",9524,-0.005,"emp24/gp25L/p24 family/GOLD family protein(p24delta5)","p24delta5"
"AT2G20723",8357,-0.005,"ncRNA(AT2G20723)","AT2G20723"
"AT2G24765",9871,-0.005,"ADP-ribosylation factor 3(ARF3)","ARF3"
"AT4G03415",9871,-0.005,"Protein phosphatase 2C family protein(PP2C52)","PP2C52"
"AT4G13420",9568,-0.0051,"high affinity K+ transporter 5(HAK5)","HAK5"
"AT5G35935",9586,-0.0051,"hypothetical protein(AT5G35935)","AT5G35935"
"AT5G44100",9522,-0.0051,"casein kinase I-like 7(ckl7)","ckl7"
"AT5G45280",9819,-0.0051,"Pectinacetylesterase family protein(AT5G45280)","AT5G45280"
"AT5G62990",9845,-0.0051,"Ubiquitin carboxyl-terminal hydrolase family protein(emb1692)","emb1692"
"AT1G05780",9871,-0.0052,"Vacuolar ATPase assembly integral membrane protein VMA21-like domain-containing protein(AT1G05780)","AT1G05780"
"AT2G26700",8357,-0.0052,"AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein(PID2)","PID2"
"AT2G36660",9560,-0.0052,"poly(A) binding protein 7(PAB7)","PAB7"
"AT3G13900",9598,-0.0052,"ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein(AT3G13900)","AT3G13900"
"AT3G18980",9568,-0.0052,"EIN2 targeting protein1(ETP1)","ETP1"
"AT4G04680",9586,-0.0052,"Rix1 complex component(AT4G04680)","AT4G04680"
"AT5G24130",9819,-0.0052,"polypyrimidine tract-binding-like protein(AT5G24130)","AT5G24130"
"AT2G15318",9587,-0.0053,"hypothetical protein(AT2G15318)","AT2G15318"
"AT3G01920",9845,-0.0053,"DHBP synthase RibB-like alpha/beta domain-containing protein(AT3G01920)","AT3G01920"
"AT3G07370",9531,-0.0053,"carboxyl terminus of HSC70-interacting protein(CHIP)","CHIP"
"AT3G11950",9557,-0.0053,"TRAF-like superfamily protein(AT3G11950)","AT3G11950"
"AT4G00870",9855,-0.0053,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT4G00870)","AT4G00870"
"AT4G14403",9819,-0.0053,"obsolete","AT4G14403"
"AT5G16370",9846,-0.0053,"acyl activating enzyme 5(AAE5)","AAE5"
"AT5G62840",9567,-0.0053,"Phosphoglycerate mutase family protein(AT5G62840)","AT5G62840"
"AT2G06555",9587,-0.0054,"hypothetical protein(AT2G06555)","AT2G06555"
"AT2G32630",9874,-0.0054,"Pentatricopeptide repeat (PPR-like) superfamily protein(AT2G32630)","AT2G32630"
"AT3G04960",9819,-0.0054,"trichohyalin, putative (DUF3444)(AT3G04960)","AT3G04960"
"AT3G60590",9825,-0.0054,"cytochrome P450 family protein(AT3G60590)","AT3G60590"
"AT5G18840",9871,-0.0054,"Major facilitator superfamily protein(AT5G18840)","AT5G18840"
"AT5G38730",9601,-0.0054,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT5G38730)","AT5G38730"
"AT5G40050",9601,-0.0054,"F-box/FBD-like domains containing protein(AT5G40050)","AT5G40050"
"AT5G44070",6970,-0.0054,"phytochelatin synthase 1 (PCS1)(CAD1)","PCS1"
"AT5G57035",9547,-0.0054,"U-box domain-containing protein kinase family protein(AT5G57035)","AT5G57035"
"AT1G18660",9543,-0.0055,"zinc finger (C3HC4-type RING finger) family protein(AT1G18660)","AT1G18660"
"AT3G53960",9832,-0.0055,"Major facilitator superfamily protein(AT3G53960)","AT3G53960"
"AT5G07860",9587,-0.0055,"HXXXD-type acyl-transferase family protein(AT5G07860)","AT5G07860"
"AT5G10890",9568,-0.0055,"myosin heavy chain-like protein(AT5G10890)","AT5G10890"
"AT5G49280",9944,-0.0055,"hydroxyproline-rich glycoprotein family protein(AT5G49280)","AT5G49280"
"AT1G09930",9905,-0.0056,"oligopeptide transporter 2(OPT2)","OPT2"
"AT1G70820",9588,-0.0056,"phosphoglucomutase, putative / glucose phosphomutase(AT1G70820)","AT1G70820"
"AT3G05720",9944,-0.0056,"importin alpha isoform 7(IMPA-7)","IMPA-7"
"AT3G20720",9547,-0.0056,"amino-terminal region of chorein(AT3G20720)","AT3G20720"
"AT3G27400",9584,-0.0056,"Pectin lyase-like superfamily protein(AT3G27400)","AT3G27400"
"AT4G03150",9524,-0.0056,"plant/protein(AT4G03150)","AT4G03150"
"AT4G36470",6970,-0.0056,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT4G36470)","AT4G36470"
"AT5G07300",9518,-0.0056,"Calcium-dependent phospholipid-binding Copine family protein(BON2)","BON2"
"AT5G13080",9587,-0.0056,"WRKY DNA-binding protein 75(WRKY75)","WRKY75"
"AT5G53200",9518,-0.0056,"Homeodomain-like superfamily protein(TRY)","TRY"
"AT5G59160",9586,-0.0056,"type one serine/threonine protein phosphatase 2(TOPP2)","TOPP2"
"AT2G19060",9586,-0.0057,"SGNH hydrolase-type esterase superfamily protein(AT2G19060)","AT2G19060"
"AT2G36240",9526,-0.0057,"pentatricopeptide (PPR) repeat-containing protein(AT2G36240)","AT2G36240"
"AT4G10970",9874,-0.0057,"ribosome maturation factor(AT4G10970)","AT4G10970"
"AT4G26840",9832,-0.0057,"small ubiquitin-like modifier 1(SUMO1)","SUMO1"
"AT2G13690",9593,-0.0058,"PRLI-interacting factor(AT2G13690)","AT2G13690"
"AT4G16690",9533,-0.0058,"methyl esterase 16(MES16)","MES16"
"AT4G19240",9944,-0.0058,"hypothetical protein(AT4G19240)","AT4G19240"
"AT4G22560",9588,-0.0058,"sulfated surface-like glycoprotein(AT4G22560)","AT4G22560"
"AT5G65340",9819,-0.0058,"MIZU-KUSSEI-like protein (Protein of unknown function, DUF617)(AT5G65340)","AT5G65340"
"AT5G66900",9593,-0.0058,"Disease resistance protein (CC-NBS-LRR class) family(AT5G66900)","AT5G66900"
"AT1G11490",9593,-0.0059,"zinc finger (C2H2 type) family protein(AT1G11490)","AT1G11490"
"AT1G16250",9593,-0.0059,"Galactose oxidase/kelch repeat superfamily protein(AT1G16250)","AT1G16250"
"AT2G32960",9874,-0.0059,"Phosphotyrosine protein phosphatases superfamily protein(PFA-DSP2)","PFA-DSP2"
"AT2G36720",9588,-0.0059,"Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger domain-containing protein(AT2G36720)","AT2G36720"
"AT2G47680",9819,-0.0059,"zinc finger (CCCH type) helicase family protein(AT2G47680)","AT2G47680"
"AT3G42950",9547,-0.0059,"Pectin lyase-like superfamily protein(AT3G42950)","AT3G42950"
"AT4G01860",8357,-0.0059,"Transducin family protein / WD-40 repeat family protein(AT4G01860)","AT4G01860"
"AT4G12490",9874,-0.0059,"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT4G12490)","AT4G12490"
"AT4G35250",9846,-0.0059,"NAD(P)-binding Rossmann-fold superfamily protein(HCF244)","HCF244"
"AT5G09260",9588,-0.0059,"vacuolar protein sorting-associated protein 20.2(VPS20.2)","VPS20.2"
"AT1G33470",9526,-0.006,"RNA-binding (RRM/RBD/RNP motifs) family protein(AT1G33470)","AT1G33470"
"AT1G67550",9518,-0.006,"urease(URE)","URE"
"AT1G70710",9543,-0.006,"glycosyl hydrolase 9B1(GH9B1)","GH9B1"
"AT4G17330",9543,-0.006,"G2484-1 protein(G2484-1)","G2484-1"
"AT4G26860",9845,-0.006,"Putative pyridoxal phosphate-dependent enzyme, YBL036C type(AT4G26860)","AT4G26860"
"AT1G06490",9905,-0.0061,"glucan synthase-like 7(CalS7)","CalS7"
"AT1G20160",9593,-0.0061,"Subtilisin-like serine endopeptidase family protein(ATSBT5.2)","ATSBT5.2"
"AT3G01560",9832,-0.0061,"proline-rich receptor-like kinase, putative (DUF1421)(AT3G01560)","AT3G01560"
"AT3G46740",9601,-0.0061,"translocon at the outer envelope membrane of chloroplasts 75-III(TOC75-III)","TOC75-III"
"AT4G37190",9543,-0.0061,"plasma membrane, autoregulation-binding site, misato segment II, myosin-like, tubulin/FtsZ protein(AT4G37190)","AT4G37190"
"AT1G17147",8357,-0.0062,"VQ motif-containing protein(AT1G17147)","AT1G17147"
"AT2G02790",6970,-0.0062,"IQ-domain 29(IQD29)","IQD29"
"AT2G46760",9531,-0.0062,"D-arabinono-1,4-lactone oxidase family protein(GulLO6)","GulLO6"
"AT4G31441",9825,-0.0062,"hypothetical protein(AT4G31441)","AT4G31441"
"AT5G25757",9905,-0.0062,"RNA polymerase I-associated factor PAF67(AT5G25757)","AT5G25757"
"AT5G66140",9533,-0.0062,"proteasome alpha subunit D2(PAD2)","PAD2"
"AT1G74260",9543,-0.0063,"purine biosynthesis 4(PUR4)","PUR4"
"AT4G09650",9825,-0.0063,"F-type H+-transporting ATPase subunit delta(ATPD)","ATPD"
"AT5G18510",9871,-0.0063,"Aminotransferase-like, plant mobile domain family protein(AT5G18510)","AT5G18510"
"AT5G38240",9584,-0.0063,"Protein kinase family protein(AT5G38240)","AT5G38240"
"AT5G49665",9526,-0.0063,"Zinc finger (C3HC4-type RING finger) family protein(AT5G49665)","AT5G49665"
"AT1G18860",9845,-0.0064,"WRKY DNA-binding protein 61(WRKY61)","WRKY61"
"AT1G75200",6970,-0.0064,"flavodoxin family protein / radical SAM domain-containing protein(AT1G75200)","AT1G75200"
"AT4G13000",9543,-0.0064,"AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein(AT4G13000)","AT4G13000"
"AT1G13920",9587,-0.0065,"Remorin family protein(AT1G13920)","AT1G13920"
"AT1G26380",6970,-0.0065,"FAD-binding Berberine family protein(AT1G26380)","AT1G26380"
"AT1G68510",9880,-0.0065,"LOB domain-containing protein 42(LBD42)","LBD42"
"AT2G19870",9598,-0.0065,"tRNA/rRNA methyltransferase (SpoU) family protein(AT2G19870)","AT2G19870"
"AT5G08240",9598,-0.0065,"transmembrane protein(AT5G08240)","AT5G08240"
"AT1G11760",9557,-0.0066,"mediator of RNA polymerase II transcription subunit-like protein(MED32)","MED32"
"AT1G72730",9598,-0.0066,"DEA(D/H)-box RNA helicase family protein(AT1G72730)","AT1G72730"
"AT2G16180",6970,-0.0066,"hypothetical protein(AT2G16180)","AT2G16180"
"AT3G23920",9855,-0.0066,"beta-amylase 1(BAM1)","BAM1"
"AT3G46650",9560,-0.0066,"UDP-Glycosyltransferase superfamily protein(AT3G46650)","AT3G46650"
"AT4G28070",9557,-0.0066,"AFG1-like ATPase family protein(AT4G28070)","AT4G28070"
"AT5G23980",9533,-0.0066,"ferric reduction oxidase 4(FRO4)","FRO4"
"AT5G63860",9531,-0.0066,"Regulator of chromosome condensation (RCC1) family protein(UVR8)","UVR8"
"AT1G15700",9905,-0.0067,"ATPase, F1 complex, gamma subunit protein(ATPC2)","ATPC2"
"AT1G27170",9533,-0.0067,"transmembrane receptors / ATP binding protein(AT1G27170)","AT1G27170"
"AT2G43860",9586,-0.0067,"Pectin lyase-like superfamily protein(AT2G43860)","AT2G43860"
"AT3G10630",9587,-0.0067,"UDP-Glycosyltransferase superfamily protein(AT3G10630)","AT3G10630"
"AT3G28380",9518,-0.0067,"P-glycoprotein 17(ABCB17)","ABCB17"
"AT3G61180",9586,-0.0067,"RING/U-box superfamily protein(AT3G61180)","AT3G61180"
"AT4G02440",6970,-0.0067,"F-box family protein(EID1)","EID1"
"AT5G61090",9874,-0.0067,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein(AT5G61090)","AT5G61090"
"AT1G08315",9543,-0.0068,"ARM repeat superfamily protein(AT1G08315)","AT1G08315"
"AT1G28685",9557,-0.0068,"ncRNA(AT1G28685)","AT1G28685"
"AT1G42990",9944,-0.0068,"basic region/leucine zipper motif 60(BZIP60)","BZIP60"
"AT1G53420",9880,-0.0068,"Leucine-rich repeat transmembrane protein kinase(AT1G53420)","AT1G53420"
"AT1G75850",9844,-0.0068,"VPS35 homolog B(VPS35B)","VPS35B"
"AT2G42790",9557,-0.0068,"citrate synthase 3(CSY3)","CSY3"
"AT4G21780",9522,-0.0068,"hypothetical protein(AT4G21780)","AT4G21780"
"AT5G57380",9567,-0.0068,"Fibronectin type III domain-containing protein(VIN3)","VIN3"
"AT5G59620",9880,-0.0068,"hypothetical protein(AT5G59620)","AT5G59620"
"AT1G03590",9587,-0.0069,"Protein phosphatase 2C family protein(AT1G03590)","AT1G03590"
"AT1G08050",9586,-0.0069,"Zinc finger (C3HC4-type RING finger) family protein(AT1G08050)","AT1G08050"
"AT2G43910",9819,-0.0069,"HARMLESS TO OZONE LAYER 1(HOL1)","HOL1"
"AT5G66210",9568,-0.0069,"calcium-dependent protein kinase 28(CPK28)","CPK28"
"AT1G67910",9543,-0.007,"hypothetical protein(AT1G67910)","AT1G67910"
"AT2G05580",9531,-0.007,"Glycine-rich protein family(AT2G05580)","AT2G05580"
"AT3G58200",9855,-0.007,"TRAF-like family protein(AT3G58200)","AT3G58200"
"AT3G59780",9587,-0.007,"Rhodanese/Cell cycle control phosphatase superfamily protein(AT3G59780)","AT3G59780"
"AT3G62010",9874,-0.007,"metal ion-binding protein(AT3G62010)","AT3G62010"
"AT4G15975",9880,-0.007,"RING/U-box superfamily protein(AT4G15975)","AT4G15975"
"AT4G39366",9832,-0.007,"ncRNA(AT4G39366)","AT4G39366"
"AT4G39970",9587,-0.007,"Haloacid dehalogenase-like hydrolase (HAD) superfamily protein(AT4G39970)","AT4G39970"
"AT1G16110",9531,-0.0071,"wall associated kinase-like 6(WAKL6)","WAKL6"
"AT3G07940",9855,-0.0071,"Calcium-dependent ARF-type GTPase activating protein family(AT3G07940)","AT3G07940"
"AT3G09240",9560,-0.0071,"kinase with tetratricopeptide repeat domain-containing protein(BSK9)","BSK9"
"AT5G35760",8357,-0.0071,"Beta-galactosidase related protein(AT5G35760)","AT5G35760"
"AT5G66190",9560,-0.0071,"ferredoxin-NADP[+]-oxidoreductase 1(FNR1)","FNR1"
"AT1G32460",9905,-0.0072,"hypothetical protein(AT1G32460)","AT1G32460"
"AT1G76160",9588,-0.0072,"SKU5 similar 5(sks5)","sks5"
"AT2G21830",9524,-0.0072,"Cysteine/Histidine-rich C1 domain family protein(AT2G21830)","AT2G21830"
"AT2G32730",9531,-0.0072,"26S proteasome regulatory complex, non-ATPase subcomplex, Rpn2/Psmd1 subunit(AT2G32730)","AT2G32730"
"AT3G23805",9587,-0.0072,"ralf-like 24(RALFL24)","RALFL24"
"AT3G51610",9567,-0.0072,"ATP-dependent helicase/deoxyribonuclease subunit B(NPU)","NPU"
"AT3G52520",9871,-0.0072,"hypothetical protein(AT3G52520)","AT3G52520"
"AT3G63370",9601,-0.0072,"Tetratricopeptide repeat (TPR)-like superfamily protein(OTP86)","OTP86"
"AT5G38060",9944,-0.0072,"carboxypeptidase(AT5G38060)","AT5G38060"
"AT5G40150",9846,-0.0072,"Peroxidase superfamily protein(AT5G40150)","AT5G40150"
"AT1G74040",9588,-0.0073,"2-isopropylmalate synthase 1(IMS1)","IMS1"
"AT2G22070",9601,-0.0073,"pentatricopeptide (PPR) repeat-containing protein(AT2G22070)","AT2G22070"
"AT4G04280",9568,-0.0073,"hypothetical protein(AT4G04280)","AT4G04280"
"AT4G05540",9871,-0.0073,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT4G05540)","AT4G05540"
"AT5G11970",9586,-0.0073,"ABC family ABC transporter, putative (DUF3511)(AT5G11970)","AT5G11970"
"AT5G57900",9880,-0.0073,"SKP1 interacting partner 1(SKIP1)","SKIP1"
"AT1G16225",9587,-0.0074,"Target SNARE coiled-coil domain protein(AT1G16225)","AT1G16225"
"AT2G36680",9568,-0.0074,"Modifier of rudimentary (Mod(r)) protein(AT2G36680)","AT2G36680"
"AT2G41740",9567,-0.0074,"villin 2(VLN2)","VLN2"
"AT3G52310",9567,-0.0074,"ABC transporter G family member 27(ABCG27)","ABCG27"
"AT5G14210",9844,-0.0074,"Leucine-rich repeat protein kinase family protein(AT5G14210)","AT5G14210"
"AT5G18130",9601,-0.0074,"transmembrane protein(AT5G18130)","AT5G18130"
"AT5G25800",9522,-0.0074,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein(AT5G25800)","AT5G25800"
"AT2G27810",9944,-0.0075,"nucleobase-ascorbate transporter 12(NAT12)","NAT12"
"AT3G25040",9601,-0.0075,"endoplasmic reticulum retention defective 2B(ERD2B)","ERD2B"
"AT4G22753",9944,-0.0075,"obsolete","AT4G22753"
"AT2G05620",9543,-0.0076,"proton gradient regulation 5(PGR5)","PGR5"
"AT3G16500",9601,-0.0076,"phytochrome-associated protein 1(PAP1)","PAP1"
"AT3G62240",9586,-0.0076,"RING/U-box superfamily protein(AT3G62240)","AT3G62240"
"AT4G20440",9905,-0.0076,"small nuclear ribonucleoprotein associated protein B(smB)","smB"
"AT1G02065",8357,-0.0077,"squamosa promoter binding protein-like 8(SPL8)","SPL8"
"AT1G49950",9846,-0.0077,"telomere repeat binding factor 1(TRB1)","TRB1"
"AT2G17930",9593,-0.0077,"Phosphatidylinositol 3- and 4-kinase family protein with FAT domain-containing protein(AT2G17930)","AT2G17930"
"AT5G53090",9832,-0.0077,"NAD(P)-binding Rossmann-fold superfamily protein(AT5G53090)","AT5G53090"
"AT5G64280",9584,-0.0077,"dicarboxylate transporter 2.2(DiT2.2)","DiT2.2"
"AT1G06645",9567,-0.0078,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT1G06645)","AT1G06645"
"AT1G59650",9593,-0.0078,"CW14 protein (DUF1336)(CW14)","CW14"
"AT1G71200",9819,-0.0078,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT1G71200)","AT1G71200"
"AT3G24520",9567,-0.0078,"heat shock transcription factor C1(HSFC1)","HSFC1"
"AT4G11980",9598,-0.0078,"nudix hydrolase homolog 14(NUDX14)","NUDX14"
"AT4G37490",9533,-0.0078,"CYCLIN B1;1(CYCB1;1)","CYCB1;1"
"AT4G38390",9874,-0.0078,"root hair specific 17(RHS17)","RHS17"
"AT2G28710",9584,-0.0079,"C2H2-type zinc finger family protein(AT2G28710)","AT2G28710"
"AT4G13720",9584,-0.0079,"Inosine triphosphate pyrophosphatase family protein(AT4G13720)","AT4G13720"
"AT4G27050",9557,-0.0079,"F-box/RNI-like superfamily protein(AT4G27050)","AT4G27050"
"AT5G18210",9855,-0.0079,"NAD(P)-binding Rossmann-fold superfamily protein(AT5G18210)","AT5G18210"
"AT5G67150",9533,-0.0079,"HXXXD-type acyl-transferase family protein(AT5G67150)","AT5G67150"
"AT1G63330",9533,-0.008,"Pentatricopeptide repeat (PPR) superfamily protein(AT1G63330)","AT1G63330"
"AT4G16550",9845,-0.008,"HSP20-like chaperone(AT4G16550)","AT4G16550"
"AT5G65470",6970,-0.008,"O-fucosyltransferase family protein(AT5G65470)","AT5G65470"
"AT1G10600",9874,-0.0081,"associated molecule with the SH3 domain of STAM 2(AMSH2)","AMSH2"
"AT1G50280",9601,-0.0081,"Phototropic-responsive NPH3 family protein(AT1G50280)","AT1G50280"
"AT2G03934",9598,-0.0081,"miscRNA(AT2G03934)","AT2G03934"
"AT3G13965",9846,-0.0081,"miscRNA(AT3G13965)","AT3G13965"
"AT3G29240",9568,-0.0081,"PPR containing protein (DUF179)(AT3G29240)","AT3G29240"
"AT5G07215",9871,-0.0081,"hypothetical protein(AT5G07215)","AT5G07215"
"AT5G53150",9880,-0.0081,"DnaJ heat shock amino-terminal domain protein(AT5G53150)","AT5G53150"
"AT1G66260",9586,-0.0082,"RNA-binding (RRM/RBD/RNP motifs) family protein(AT1G66260)","AT1G66260"
"AT2G05290",9825,-0.0082,"hypothetical protein(AT2G05290)","AT2G05290"
"AT2G23560",9598,-0.0082,"methyl esterase 7(MES7)","MES7"
"AT3G13420",9871,-0.0082,"transmembrane protein(AT3G13420)","AT3G13420"
"AT3G17050",9522,-0.0082,"hypothetical protein(AT3G17050)","AT3G17050"
"AT3G60630",9845,-0.0082,"GRAS family transcription factor(HAM2)","HAM2"
"AT5G25630",9846,-0.0082,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT5G25630)","AT5G25630"
"AT5G59670",9522,-0.0082,"Leucine-rich repeat protein kinase family protein(AT5G59670)","AT5G59670"
"AT1G09040",9533,-0.0083,"arginine-glutamic acid dipeptide repeat protein(AT1G09040)","AT1G09040"
"AT1G51220",9871,-0.0083,"WIP domain protein 5(WIP5)","WIP5"
"AT1G62440",9825,-0.0083,"leucine-rich repeat/extensin 2(LRX2)","LRX2"
"AT1G68540",8357,-0.0083,"NAD(P)-binding Rossmann-fold superfamily protein(TKPR2)","TKPR2"
"AT2G15300",9584,-0.0083,"Leucine-rich repeat protein kinase family protein(AT2G15300)","AT2G15300"
"AT2G20570",9587,-0.0083,"GBF's pro-rich region-interacting factor 1(GPRI1)","GPRI1"
"AT3G23450",9587,-0.0083,"transmembrane protein(AT3G23450)","AT3G23450"
"AT3G54710",9855,-0.0083,"CDT1-like protein B(CDT1B)","CDT1B"
"AT4G27270",9871,-0.0083,"Quinone reductase family protein(AT4G27270)","AT4G27270"
"AT5G07120",9601,-0.0083,"sorting nexin 2B(SNX2b)","SNX2b"
"AT1G28680",9550,-0.0084,"HXXXD-type acyl-transferase family protein(AT1G28680)","AT1G28680"
"AT1G68830",6970,-0.0084,"Serine/Threonine kinase domain protein(STN7)","STN7"
"AT2G20515",9550,-0.0084,"pollen Ole e I family allergen protein(AT2G20515)","AT2G20515"
"AT3G42180",9568,-0.0084,"Exostosin family protein(AT3G42180)","AT3G42180"
"AT3G51420",9855,-0.0084,"strictosidine synthase-like 4(SSL4)","SSL4"
"AT4G21930",9819,-0.0084,"senescence regulator (Protein of unknown function, DUF584)(AT4G21930)","AT4G21930"
"AT1G21500",6970,-0.0085,"hypothetical protein(AT1G21500)","AT1G21500"
"AT1G33612",9587,-0.0085,"Leucine-rich repeat (LRR) family protein(AT1G33612)","AT1G33612"
"AT1G66173",9547,-0.0085,"ncRNA(AT1G66173)","AT1G66173"
"AT1G78990",9819,-0.0085,"HXXXD-type acyl-transferase family protein(AT1G78990)","AT1G78990"
"AT2G19780",9560,-0.0085,"Leucine-rich repeat (LRR) family protein(AT2G19780)","AT2G19780"
"AT2G31870",9845,-0.0085,"Poly (ADP-ribose) glycohydrolase (PARG)(TEJ)","PARG"
"AT2G39400",9550,-0.0085,"alpha/beta-Hydrolases superfamily protein(AT2G39400)","AT2G39400"
"AT3G26990",9531,-0.0085,"ENTH/VHS family protein(AT3G26990)","AT3G26990"
"AT4G19200",9871,-0.0085,"proline-rich family protein(AT4G19200)","AT4G19200"
"AT5G45170",9560,-0.0085,"Haloacid dehalogenase-like hydrolase (HAD) superfamily protein(AT5G45170)","AT5G45170"
"AT5G61210",9531,-0.0085,"soluble N-ethylmaleimide-sensitive factor adaptor protein 33(SNAP33)","SNAP33"
"AT1G19920",9871,-0.0086,"Pseudouridine synthase/archaeosine transglycosylase-like family protein(APS2)","APS2"
"AT3G17210",9584,-0.0086,"heat stable protein 1(HS1)","HS1"
"AT3G30122",9880,-0.0086,"miscRNA(AT3G30122)","AT3G30122"
"AT5G37440",9593,-0.0086,"Chaperone DnaJ-domain superfamily protein(AT5G37440)","AT5G37440"
"AT1G60440",9547,-0.0087,"pantothenate kinase 1(PANK1)","PANK1"
"AT1G75840",9832,-0.0087,"RAC-like GTP binding protein 5(ARAC5)","ARAC5"
"AT3G47230",9845,-0.0087,"hypothetical protein(AT3G47230)","AT3G47230"
"AT2G21960",9586,-0.0088,"transmembrane protein(AT2G21960)","AT2G21960"
"AT3G52770",9593,-0.0088,"binding protein(ZPR3)","ZPR3"
"AT4G22860",9557,-0.0088,"Cell cycle regulated microtubule associated protein(AT4G22860)","AT4G22860"
"AT4G23500",9518,-0.0088,"Pectin lyase-like superfamily protein(AT4G23500)","AT4G23500"
"AT5G57500",9825,-0.0088,"Galactosyltransferase family protein(AT5G57500)","AT5G57500"
"AT1G18910",9880,-0.0089,"zinc ion binding protein(AT1G18910)","AT1G18910"
"AT1G64210",9819,-0.0089,"Leucine-rich repeat protein kinase family protein(AT1G64210)","AT1G64210"
"AT4G37070",9871,-0.0089,"Acyl transferase/acyl hydrolase/lysophospholipase superfamily protein(PLP1)","PLP1"
"AT5G17640",9557,-0.0089,"nuclear factor 1 A-type protein (DUF1005)(ASG1)","ASG1"
"AT1G34630",9855,-0.009,"transmembrane protein(AT1G34630)","AT1G34630"
"AT1G47603",9871,-0.009,"purine permease 19(PUP19)","PUP19"
"AT1G51355",9518,-0.009,"cyclin-dependent kinase inhibitor SMR3-like protein(AT1G51355)","AT1G51355"
"AT2G02148",9601,-0.009,"PPR containing protein(AT2G02148)","AT2G02148"
"AT3G49070",9533,-0.009,"transmembrane protein, putative (DUF677)(AT3G49070)","AT3G49070"
"AT4G00150",9825,-0.009,"GRAS family transcription factor(HAM3)","HAM3"
"AT1G06750",9832,-0.0091,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G06750)","AT1G06750"
"AT1G22360",9533,-0.0091,"UDP-glucosyl transferase 85A2(UGT85A2)","UGT85A2"
"AT3G08500",9531,-0.0091,"myb domain protein 83(MYB83)","MYB83"
"AT4G18920",9855,-0.0091,"histone acetyltransferase (DUF1264)(AT4G18920)","AT4G18920"
"AT4G35050",9547,-0.0091,"Transducin family protein / WD-40 repeat family protein(MSI3)","MSI3"
"AT5G53895",9845,-0.0091,"hypothetical protein(AT5G53895)","AT5G53895"
"AT1G32960",9518,-0.0092,"Subtilase family protein(SBT3.3)","SBT3.3"
"AT2G18250",9586,-0.0092,"4-phosphopantetheine adenylyltransferase(COAD)","COAD"
"AT2G30766",9832,-0.0092,"hypothetical protein(AT2G30766)","AT2G30766"
"AT4G18440",9586,-0.0092,"L-Aspartase-like family protein(AT4G18440)","AT4G18440"
"AT5G11350",9844,-0.0092,"DNAse I-like superfamily protein(AT5G11350)","AT5G11350"
"AT5G61590",9547,-0.0092,"Integrase-type DNA-binding superfamily protein(AT5G61590)","AT5G61590"
